channel_name,tvg_id,match_type,suggested_id,suggested_score
ABC USA,ABC.National.Feed.us2,exact,,
AHC (American Heroes Channel),,,American.Heroes.Channel.-.Canada.ca2,0.882
Antenna TV USA,Antenna.TV.us2,manual_override,,
A&E USA,A.and.E.HD.East.us2,manual_override,,
AMC USA,AMC.HD.us2,exact,,
Animal Planet,AnimalPlanet.au,exact,,
Astro SuperSport 1,,,SuperSport.1.al,0.800
Astro SuperSport 2,,,SuperSport.2.al,0.800
Astro SuperSport 3,,,SuperSport.3.al,0.800
Astro SuperSport 4,,,SuperSport.4.al,0.800
Arena Sport 1 Premium,,,Arena.Sport.1.HD.(RS).rs,0.811
Arena Sport 2 Premium,,,Arena.Sport.2.HD.(RS).rs,0.811
Arena Sport 3 Premium,,,Arena.Sport.3.HD.(RS).rs,0.811
Arena Sport 1 Serbia,,,Arena.Sport.1.HD.(RS).rs,0.897
Arena Sport 2 Serbia,,,Arena.Sport.2.HD.(RS).rs,0.897
Arena Sport 3 Serbia,,,Arena.Sport.3.HD.(RS).rs,0.897
Arena Sport 4 Serbia,,,Arena.Sport.4.HD.(RS).rs,0.897
Arena Sport 1 Croatia,Arena.Sport.1.HD.hr,exact,,
Arena Sport 2 Croatia,Arena.Sport.2.HD.hr,exact,,
Arena Sport 3 Croatia,Arena.Sport.3.HD.hr,exact,,
Arena Sport 4 Croatia,Arena.Sport.4.HD.hr,exact,,
Alkass One,Alkass.One.HD.ae,exact,,
Alkass Two,Alkass.Two.HD.ae,exact,,
Alkass Three,Alkass.Three.ae,exact,,
Alkass Four,Alkass.Four.ae,exact,,
Arena Sport 1 BiH,,,,
Abu Dhabi Sports 1 UAE,,,en:.Abu.Dhabi.Sports.1.ae,0.923
Abu Dhabi Sports 2 UAE,,,en:.Abu.Dhabi.Sports.2.ae,0.923
Abu Dhabi Sports 1 Premium,,,,
Abu Dhabi Sports 2 Premium,,,,
Astro Cricket,Astro.Cricket.my,exact,,
Antena 3 Spain,Antena.3.es,exact,,
Arena Sports Tenis Serbia,,,,
ACC Network USA,ACC.Network.us2,exact,,
Adult Swim,Adult.Swim.HD.br,exact,,
A Sport PK,,,,
AXN Movies Portugal,AXN.Movies.HD.pt,exact,,
Arte DE,ARTE.de,exact,,
AXS TV USA,AXS.TV.us2,exact,,
ABC NY USA,,,,
Azteca 7 MX,,,,
Altitude Sports,Altitude.Sports.us2,exact,,
Azteca Uno MX,,,,
Arena Sport 5 Serbia,,,Arena.Sport.5.HD.(RS).rs,0.897
Arena Sport 6 Serbia,,,Arena.Sport.6.HD.(RS).rs,0.897
Arena Sport 7 Serbia,,,Arena.Sport.7.HD.(RS).rs,0.897
Arena Sport 8 Serbia,,,Arena.Sport.8.HD.(RS).rs,0.897
Arena Sport 9 Serbia,,,Arena.Sport.9.HD.(RS).rs,0.897
Arena Sport 10 Serbia,,,Arena.Sport.10.HD.(RS).rs,0.903
Arte France,Arte..fr,exact,,
Automoto La chaîne,Automoto.la.chaine.fr,exact,,
ATV Turkey,ATV.HD.tr,exact,,
A Spor Turkey,A.SPOR.tr,exact,,
beIN Sports MENA English 1,,,,
beIN Sports MENA English 2,,,,
beIN Sports 1 Arabic,,,,
beIN Sports 2 Arabic,,,,
beIN Sports 3 Arabic,,,,
beIN Sports 4 Arabic,,,,
beIN Sports 5 Arabic,,,,
beIN Sports 6 Arabic,,,,
beIN Sports 7 Arabic,,,,
beIN Sports 8 Arabic,,,,
beIN Sports 9 Arabic,,,,
beIN SPORTS XTRA 1,,,beINSportsXtra.au,0.941
beIN Sports MAX 4 France,beIN.SPORTS.MAX.4.fr,exact,,
beIN Sports MAX 5 France,beIN.SPORTS.MAX.5.fr,exact,,
beIN Sports MAX 6 France,beIN.SPORTS.MAX.6.fr,exact,,
beIN Sports MAX 7 France,beIN.SPORTS.MAX.7.fr,exact,,
beIN Sports MAX 8 France,beIN.SPORTS.MAX.8.fr,exact,,
beIN Sports MAX 9 France,beIN.SPORTS.MAX.9.fr,exact,,
beIN Sports MAX 10 France,beIN.SPORTS.MAX.10.fr,exact,,
beIN SPORTS 1 France,beIN.SPORTS.1.fr,exact,,
